model_name,run_type,macro_f1,accuracy,latency_ms_per_sample,avg_generated_tokens,train_time_sec_total,train_time_sec_per_epoch,train_time_sec_per_1k_train_samples,macro_f1_per_s,manifest
facebook/bart-base,prompt,0.38664989727651056,0.4341387373343726,32.55972544352213,1.6165237724084178,249.73664689064026,83.24554896354675,31.217080861330032,11.875096979770014,manifest_prompt_20251208_064940.json
facebook/bart-base,instruction,0.5838639409651696,0.6048324240062354,49.75588003794352,1.0,386.2222592830658,128.74075309435526,48.277782410383224,11.734571683184353,manifest_instruction_20251208_123100.json
google/flan-t5-small,instruction,0.304643335060404,0.4333593141075604,55.85063695907593,1.9968823070927513,414.3936290740967,138.13120969136557,51.799203634262085,5.454608069799253,manifest_instruction_20251208_070955.json
