medium_threshold,high_threshold,validation_accuracy,validation_macro_f1
0.3,0.55,0.48130841121495327,0.48263945413186615
0.35,0.6,0.48442367601246106,0.48247211230095016
0.3,0.6,0.48520249221183803,0.48196530197929105
0.35,0.55,0.48052959501557635,0.48129464164777763
0.25,0.55,0.47897196261682246,0.47722526413073835
0.25,0.6,0.48286604361370716,0.4754079311266783
0.4,0.6,0.4797507788161994,0.4752458042644962
0.35,0.65,0.48052959501557635,0.47204354949498845
0.4,0.55,0.47585669781931467,0.471368182806053
0.3,0.65,0.48130841121495327,0.47049852062543884
0.4,0.65,0.47585669781931467,0.46632903891017863
0.35,0.7,0.48208722741433024,0.465324298657632
0.25,0.65,0.47897196261682246,0.4633269256837857
0.3,0.7,0.48286604361370716,0.46292612505313757
0.4,0.7,0.47741433021806856,0.460808494581592
0.45,0.6,0.4665109034267913,0.4557315022051353
0.25,0.7,0.48052959501557635,0.4552238089074983
0.35,0.75,0.4781931464174455,0.45125048425923026
0.45,0.65,0.46261682242990654,0.4493912836008671
0.3,0.75,0.47897196261682246,0.44838483550142344
0.45,0.55,0.46261682242990654,0.4474453345190816
0.4,0.75,0.4735202492211838,0.44738461534425666
0.45,0.7,0.46417445482866043,0.4457897917150424
0.25,0.75,0.4766355140186916,0.4403917488106657
0.45,0.75,0.4602803738317757,0.43340445013520185
0.35,0.8,0.471183800623053,0.43283572633657647
0.3,0.8,0.4719626168224299,0.4297348262473817
0.4,0.8,0.4665109034267913,0.4293086475699346
0.25,0.8,0.4696261682242991,0.42161380524061703
0.45,0.8,0.4532710280373832,0.41594767905587093
0.5,0.6,0.4369158878504673,0.41079611439952335
0.5,0.7,0.43457943925233644,0.41032095186257395
0.5,0.65,0.43302180685358255,0.4100382125032525
0.5,0.75,0.43068535825545173,0.40002838128695273
0.5,0.55,0.43302180685358255,0.39329468931046957
0.5,0.8,0.4236760124610592,0.38397626035745464
