seed,learning_rate,best_epoch,validation_accuracy,validation_macro_f1,test_accuracy,test_macro_f1,low_risk_f1,medium_risk_f1,high_risk_f1,trainable_parameters,total_parameters,training_time_seconds,best_model_path
42,3e-05,3,0.48130841121495327,0.4779968952756291,0.47277032359905286,0.46681700126550174,0.5202558635394456,0.46233230134158926,0.4178628389154705,109486854,109486854,715.4807827472687,/content/drive/MyDrive/UoP/COMP3000/fake-news-detector-v1/model_training/liar_6label_to_3risk/six_label_seed_42_best_model.pt
123,3e-05,2,0.5015576323987538,0.4993872186912784,0.47355958958168903,0.4682511654708799,0.5369807497467072,0.42920353982300885,0.4385692068429238,109486854,109486854,712.1020209789276,/content/drive/MyDrive/UoP/COMP3000/fake-news-detector-v1/model_training/liar_6label_to_3risk/six_label_seed_123_best_model.pt
2025,3e-05,2,0.48130841121495327,0.47503601549512003,0.47987371744277824,0.4643201522902316,0.5619223659889094,0.4330616996507567,0.3979763912310287,109486854,109486854,713.37602186203,/content/drive/MyDrive/UoP/COMP3000/fake-news-detector-v1/model_training/liar_6label_to_3risk/six_label_seed_2025_best_model.pt
