run_name,learning_rate,epoch,train_loss,six_val_accuracy,six_val_macro_f1,risk_val_accuracy,risk_val_macro_f1,mapped_argmax_risk_val_accuracy,mapped_argmax_risk_val_macro_f1
six_label_lr_1eminus05,1e-05,1,1.7839064840227365,0.21495327102803738,0.2026554215874391,0.4322429906542056,0.4138004018136052,0.43769470404984423,0.42261585839466975
six_label_lr_1eminus05,1e-05,2,1.6758310813456774,0.2585669781931464,0.24385064278561364,0.47741433021806856,0.47836943749216165,0.4742990654205608,0.47434573755842235
six_label_lr_1eminus05,1e-05,3,1.5666694287210703,0.2538940809968847,0.25088618741054464,0.47897196261682246,0.4735513445014719,0.4696261682242991,0.46392248237943084
six_label_lr_1eminus05,1e-05,4,1.4771083198487758,0.2632398753894081,0.2670474053050516,0.4680685358255452,0.46668373828364446,0.4688473520249221,0.46800981755242904
six_label_lr_2eminus05,2e-05,1,1.769441300071776,0.2484423676012461,0.23661635991587668,0.4688473520249221,0.46106988969594626,0.4680685358255452,0.46128000160316907
six_label_lr_2eminus05,2e-05,2,1.623678614012897,0.2515576323987539,0.24258388078810425,0.4750778816199377,0.47340094314007847,0.4727414330218069,0.47052006180651923
six_label_lr_2eminus05,2e-05,3,1.3883345596492291,0.2632398753894081,0.2648351934267443,0.48442367601246106,0.4748669268040729,0.47585669781931467,0.4672156563443444
six_label_lr_2eminus05,2e-05,4,1.1764522237703203,0.2702492211838006,0.27267134714755886,0.47741433021806856,0.4722895479821558,0.4735202492211838,0.4702279707063548
six_label_lr_3eminus05,3e-05,1,1.7708139410242438,0.2562305295950156,0.2458864915712954,0.4781931464174455,0.47705614665304635,0.4680685358255452,0.46766651415430077
six_label_lr_3eminus05,3e-05,2,1.6409010758623481,0.2468847352024922,0.23348830984716473,0.4657320872274143,0.45854688650728576,0.45872274143302183,0.4506644143849923
six_label_lr_3eminus05,3e-05,3,1.3661095066927373,0.26947040498442365,0.2734190219104364,0.4929906542056075,0.48822880762906373,0.48208722741433024,0.478172778054335
six_label_lr_3eminus05,3e-05,4,1.075847168173641,0.2764797507788162,0.27933830236876994,0.48208722741433024,0.4793003405260124,0.48286604361370716,0.48202989482842534
