method,test_accuracy,test_macro_f1,high_risk_f1
direct_3risk_BERT argmax,0.4719810576164167,0.4658305530704976,0.4242424242424242
direct_3risk_BERT ordinal thresholds,0.4380426203630623,0.436584049043188,0.4186046511627907
direct_3risk_BERT ordinal plus rules,0.4388318863456985,0.4369712324261853,0.4213740458015267
six_label_to_3risk_aggregate_probability_argmax,0.4846093133385951,0.4743087869452418,0.4214046822742475
