confidence_bin,count,accuracy
"(0.0, 0.5]",377,0.4005305039787798
"(0.5, 0.6]",408,0.45098039215686275
"(0.6, 0.7]",269,0.4646840148698885
"(0.7, 0.8]",153,0.6601307189542484
"(0.8, 0.9]",59,0.6101694915254238
"(0.9, 1.0]",1,1.0
