method,test_accuracy,test_macro_f1,low_risk_f1,medium_risk_f1,high_risk_f1,notes
majority_class_baseline,0.3764798737174428,0.18233944954128442,0.0,0.5470183486238532,0.0,non-text baseline
uniform_random_baseline_30_runs,0.3342541436464088,0.3323928612452339,0.3443029829182416,0.35502269219892874,0.2978529086185312,non-text baseline
stratified_random_baseline_30_runs,0.3396211523283347,0.33353034561648953,0.3578889029395225,0.3727716799208983,0.26993045398904775,non-text baseline
selected_BERT_argmax,0.47198105761641673,0.4658305530704976,0.5244897959183673,0.4487594390507012,0.42424242424242425,trained text model
