method,seed,learning_rate,best_epoch,validation_accuracy,validation_macro_f1,test_accuracy,test_macro_f1,low_risk_f1,medium_risk_f1,high_risk_f1,trainable_parameters,total_parameters,trainable_percent,training_time_seconds,best_model_path
full_fine_tuning,42,1e-05,4,0.4945482866043614,0.4929583027952076,0.47198105761641673,0.4658305530704976,0.5244897959183673,0.4487594390507012,0.42424242424242425,109484547,109484547,100.0,1046.1495833396912,/content/drive/MyDrive/UoP/COMP3000/fake-news-detector-v1/model_training/claim_risk_bert_3class/full_fine_tuning_seed_42_best_model.pt
full_fine_tuning,123,1e-05,4,0.48520249221183803,0.48550447576195827,0.4846093133385951,0.4817325536288138,0.5466101694915254,0.43155452436194897,0.46703296703296704,109484547,109484547,100.0,1048.7918076515198,/content/drive/MyDrive/UoP/COMP3000/fake-news-detector-v1/model_training/claim_risk_bert_3class/full_fine_tuning_seed_123_best_model.pt
full_fine_tuning,2025,1e-05,4,0.4883177570093458,0.48996761403209904,0.47750591949486976,0.472140467461923,0.5362776025236593,0.4528710725893825,0.42727272727272725,109484547,109484547,100.0,1046.07262301445,/content/drive/MyDrive/UoP/COMP3000/fake-news-detector-v1/model_training/claim_risk_bert_3class/full_fine_tuning_seed_2025_best_model.pt
lora,42,1e-05,4,0.3621495327102804,0.3583691701339144,0.3772691397000789,0.36822330759948035,0.4616915422885572,0.327909887359199,0.3150684931506849,297219,109781766,0.27073621679578375,747.8088250160217,/content/drive/MyDrive/UoP/COMP3000/fake-news-detector-v1/model_training/claim_risk_bert_3class/lora_seed_42_best_model.pt
lora,123,1e-05,3,0.3707165109034268,0.370680317312634,0.36464088397790057,0.3645800736580158,0.38617401668653156,0.35628415300546445,0.35128205128205126,297219,109781766,0.27073621679578375,746.4572877883911,/content/drive/MyDrive/UoP/COMP3000/fake-news-detector-v1/model_training/claim_risk_bert_3class/lora_seed_123_best_model.pt
lora,2025,1e-05,3,0.36838006230529596,0.3603186769640255,0.3425414364640884,0.3383504444292666,0.31105047748976805,0.3882113821138211,0.3157894736842105,297219,109781766,0.27073621679578375,746.2988030910492,/content/drive/MyDrive/UoP/COMP3000/fake-news-detector-v1/model_training/claim_risk_bert_3class/lora_seed_2025_best_model.pt
