method,seeds,mean_validation_macro_f1,std_validation_macro_f1,mean_test_macro_f1,std_test_macro_f1,mean_test_accuracy,mean_high_risk_f1,mean_trainable_parameters,mean_trainable_percent,mean_training_time_seconds
full_fine_tuning,3,0.4894767975297549,0.0037510745113406435,0.47323452472041144,0.008007254610839525,0.47803209681662717,0.4395160395160395,109484547.0,100.0,1047.0046713352203
lora,3,0.3631227214701913,0.006617256637643961,0.35705127522892094,0.01629751799618684,0.36148382004735596,0.3273800060389822,297219.0,0.27073621679578375,746.854971965154
