method,test_accuracy,test_macro_f1,low_risk_f1,medium_risk_f1,high_risk_f1,test_accuracy_std,test_macro_f1_std,low_risk_f1_std,medium_risk_f1_std,high_risk_f1_std
majority_class_baseline,0.3764798737174428,0.18233944954128442,0.0,0.5470183486238532,0.0,,,,,
uniform_random_baseline_30_runs,0.3342541436464088,0.3323928612452339,0.3443029829182416,0.35502269219892874,0.2978529086185312,0.015036465215714865,0.015118567131102911,0.021210500046264937,0.01897608917661148,0.021642061428727394
stratified_random_baseline_30_runs,0.3396211523283347,0.33353034561648953,0.3578889029395225,0.3727716799208983,0.26993045398904775,0.014423096307345494,0.01478270215417025,0.02132278611589862,0.016831744811013745,0.024191216644931773
